StationId,State,Year,Month,Day,Season,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Predicted_AQI
0,0,2017,11,24,1,71.36,115.75,1.75,20.65,12.4,12.19,0.1,10.76,109.26,0.17,5.92,169.4
0,0,2018,3,21,3,48.71,96.46,5.63,14.86,12.65,13.01,0.92,15.45,27.48,0.06,1.73,99.5
0,0,2018,4,6,3,29.89,71.75,5.08,9.62,9.25,9.17,0.87,10.34,20.63,0.0,1.12,83.05
0,0,2018,4,11,3,13.0,29.0,3.8,2.8,4.6,20.1,0.95,9.05,19.6,0.0,0.8,47.65
0,0,2018,4,12,3,9.25,35.45,4.7,4.6,6.48,9.06,0.54,6.2,21.66,0.0,0.89,46.25
0,0,2018,4,18,3,17.79,53.96,4.51,6.55,7.31,8.37,0.73,10.53,28.54,0.0,1.02,72.65
0,0,2018,4,20,3,24.83,67.21,3.41,6.22,6.25,10.45,0.56,15.16,30.26,0.0,0.82,71.4
0,0,2018,4,23,3,25.0,61.0,3.1,8.8,7.2,7.5,0.95,9.05,19.6,0.0,1.1,71.8
0,0,2018,4,24,3,23.35,91.83,4.6,7.1,7.6,7.8,0.62,11.15,34.95,0.0,0.52,97.15
0,0,2018,4,26,3,24.79,66.54,4.32,7.23,7.54,9.86,0.6,13.05,29.11,0.0,0.89,78.9
0,0,2018,4,30,3,28.85,64.52,3.84,5.51,6.23,6.12,0.45,5.93,32.05,0.0,0.68,66.3
0,0,2018,5,7,8,17.0,50.0,3.6,12.1,9.4,18.0,0.95,9.05,54.9,0.1,0.3,77.0
0,0,2018,5,8,8,29.12,74.4,3.36,10.7,8.42,10.16,0.54,17.55,53.09,0.07,5.08,77.5
0,0,2018,5,10,8,19.06,43.83,5.12,9.93,9.48,9.06,0.54,8.34,51.0,0.05,0.47,73.0
0,0,2018,5,12,8,21.4,54.19,4.04,8.19,7.82,9.19,0.57,9.63,56.23,0.32,0.3,82.55
0,0,2018,5,16,8,22.44,55.03,4.24,10.94,9.25,9.46,1.31,7.48,40.74,0.28,0.05,92.7
0,0,2018,5,19,8,43.35,103.42,2.84,10.57,7.94,10.89,0.95,21.69,64.07,0.88,0.0,114.0
0,0,2018,5,21,8,27.93,81.18,3.98,11.44,9.32,8.48,0.95,11.16,51.06,0.2,0.0,94.1
0,0,2018,5,23,8,20.52,77.6,4.36,11.91,10.02,11.75,0.25,7.92,79.94,0.14,0.0,115.65
0,0,2018,7,23,4,16.46,62.29,7.42,15.94,13.64,15.03,0.47,13.78,34.5,0.24,0.12,73.1
0,0,2018,8,6,4,17.79,72.48,5.56,14.87,12.57,16.48,0.42,11.28,30.9,0.16,0.14,71.9
0,0,2018,8,20,4,10.46,22.96,6.49,11.24,10.45,13.4,0.99,10.48,18.45,0.17,0.09,68.55
0,0,2018,8,23,4,11.44,32.62,3.08,12.02,8.9,12.88,0.74,8.98,33.9,0.1,0.08,58.8
0,0,2018,9,10,4,26.73,71.95,12.65,30.67,26.74,23.97,1.32,12.74,37.63,0.04,0.11,92.45
